device,max_normalized_regret,max_regret_vs_oracle_s,mean_normalized_regret,mean_regret_vs_oracle_s,median_normalized_regret,missed_opportunity_count,missed_opportunity_rate,n_conditions,p90_normalized_regret,p95_normalized_regret,policy,policy_failure_count,policy_failure_rate,total_regret_vs_oracle_s,wrong_enable_count,wrong_enable_rate
V100,0.041874,0.011508,0.005846,0.001391,0.0,1,0.041667,24,0.010977,0.035276,static_gate_only,4,0.166667,0.033391,7,0.291667
V100,0.041874,0.011508,0.005846,0.001391,0.0,1,0.041667,24,0.010977,0.035276,static_gate_plus_eligibility,0,0.0,0.033391,3,0.125
V100,18.761458,2.070812,2.202766,0.344218,0.0,1,0.041667,24,7.894431,7.935893,static_threshold,0,0.0,8.261232,7,0.291667
V100,0.614978,0.044105,0.063641,0.0058,0.00017,5,0.208333,24,0.073866,0.088682,workload_agnostic_logreg_policy,0,0.0,0.13919,5,0.208333
V100,0.614978,0.044105,0.063641,0.0058,0.00017,5,0.208333,24,0.073866,0.088682,workload_agnostic_tree_policy,0,0.0,0.13919,5,0.208333
V100,0.614978,0.044105,0.057979,0.004149,0.0,5,0.208333,24,0.073866,0.088682,workload_family_holdout_policy,0,0.0,0.099571,0,0.0
A100,0.804402,0.107773,0.104459,0.01583,0.005444,7,0.291667,24,0.237716,0.497823,always_best_eager,6,0.25,0.284942,0,0.0
A100,30.6446,3.574218,17.19263,2.883123,16.999792,0,0.0,24,26.406658,27.653702,always_compile,0,0.0,69.194958,24,1.0
A100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_compile_plus_graphs,24,1.0,0.0,6,0.25
A100,30.688506,3.470486,16.965437,2.841086,16.773802,0,0.0,24,24.414388,26.944476,always_compile_reduce_overhead,0,0.0,68.186066,24,1.0
A100,,,,,,0,0.0,24,,,always_cpu,24,1.0,,0,0.0
A100,0.868464,0.116356,0.110103,0.017421,0.051626,7,0.291667,24,0.153381,0.218097,always_eager,0,0.0,0.418097,0,0.0
A100,0.195036,0.06265,0.024472,0.007125,0.0,0,0.0,24,0.053089,0.133652,always_graphs,12,0.5,0.128253,11,0.458333
A100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_graphs_input_copy,24,1.0,0.0,6,0.25
A100,0.868464,0.116356,0.110103,0.017421,0.051626,7,0.291667,24,0.153381,0.218097,amort_ablation_startup_only,0,0.0,0.418097,0,0.0
A100,0.195036,0.06265,0.02954,0.006242,0.0,2,0.083333,24,0.08271,0.108966,amort_ablation_startup_step,0,0.0,0.149809,3,0.125
A100,0.195036,0.06265,0.02954,0.006242,0.0,2,0.083333,24,0.08271,0.108966,amort_ablation_startup_step_risk,0,0.0,0.149809,3,0.125
A100,0.195036,0.06265,0.025184,0.005941,0.0,0,0.0,24,0.054944,0.108966,amort_ablation_step_only,0,0.0,0.142593,5,0.208333
A100,0.195036,0.06265,0.02954,0.006242,0.0,2,0.083333,24,0.08271,0.108966,amortization_policy,0,0.0,0.149809,3,0.125
A100,0.195036,0.06265,0.025184,0.005941,0.0,0,0.0,24,0.054944,0.108966,first_k_probe_policy,0,0.0,0.142593,5,0.208333
