batch_size,cache_state,ci95_overlap,device_label,marginal_rank,num_steps,oracle_action,oracle_runtime_s,relative_margin,runner_up_action,runner_up_runtime_s,time_accounting_mode,workload_id
32,cold_cache,True,RTX 4060,True,50,graphs_only,0.06834,0.007682,best_eager,0.068865,cold_total,dlrm_recommendation
32,cold_cache,False,RTX 4060,False,100,graphs_only,0.070966,0.087324,eager,0.077163,cold_total,dlrm_recommendation
32,cold_cache,False,RTX 4060,False,500,graphs_only,0.086712,0.253921,graphs_input_copy,0.10873,cold_total,dlrm_recommendation
1,cold_cache,True,RTX 4060,True,10,best_eager,0.046265,0.004128,eager,0.046456,cold_total,dynamic_shape_infer_small
1,cold_cache,True,RTX 4060,True,50,eager,0.04732,0.020456,best_eager,0.048288,cold_total,dynamic_shape_infer_small
1,cold_cache,True,RTX 4060,True,100,eager,0.047754,0.039494,best_eager,0.04964,cold_total,dynamic_shape_infer_small
1,cold_cache,True,RTX 4060,True,500,eager,0.064565,0.024921,best_eager,0.066174,cold_total,dynamic_shape_infer_small
4,cold_cache,True,RTX 4060,True,10,eager,0.044962,0.005071,best_eager,0.04519,cold_total,dynamic_shape_infer_small
4,cold_cache,True,RTX 4060,True,50,eager,0.046527,0.023105,best_eager,0.047602,cold_total,dynamic_shape_infer_small
4,cold_cache,True,RTX 4060,True,100,best_eager,0.048753,0.004225,eager,0.048959,cold_total,dynamic_shape_infer_small
4,cold_cache,True,RTX 4060,True,500,eager,0.063472,0.006034,best_eager,0.063855,cold_total,dynamic_shape_infer_small
16,cold_cache,True,RTX 4060,True,10,best_eager,0.052842,0.013493,eager,0.053555,cold_total,dynamic_shape_infer_small
16,cold_cache,True,RTX 4060,True,50,eager,0.054002,0.00487,best_eager,0.054265,cold_total,dynamic_shape_infer_small
16,cold_cache,False,RTX 4060,True,100,eager,0.05598,0.025223,best_eager,0.057392,cold_total,dynamic_shape_infer_small
16,cold_cache,True,RTX 4060,True,500,eager,0.071899,0.015035,best_eager,0.07298,cold_total,dynamic_shape_infer_small
32,cold_cache,True,RTX 4060,True,10,eager,0.052468,0.002878,best_eager,0.052619,cold_total,dynamic_shape_infer_small
