device,load_level,mean_arrival_rate_lambda,mean_effective_offered_load,mean_missed_opportunity_count,mean_p95_completion_time_s,mean_p95_wait_time_s,mean_service_time_s,mean_throughput_jobs_per_s,mean_wasted_optimization_overhead_s,mean_wrong_admit_count,num_seeds,policy,target_utilization,unstable_seed_count
A100,medium,3.166364,0.695689,366.2,1.619059,1.36392,0.219712,3.16045,0.0,0.0,5,amort_ablation_startup_only,0.65,0
A100,medium,3.166364,0.653128,103.0,1.405929,1.160241,0.206271,3.161078,7.100627,35.6,5,amort_ablation_startup_step,0.65,0
A100,medium,3.166364,0.653128,103.0,1.405929,1.160241,0.206271,3.161078,7.100627,35.6,5,amort_ablation_startup_step_risk,0.65,0
A100,medium,3.166364,0.655847,0.0,1.412689,1.168953,0.207129,3.161085,35.562569,235.6,5,amort_ablation_step_only,0.65,0
A100,medium,3.166364,0.653128,103.0,1.405929,1.160241,0.206271,3.161078,7.100627,35.6,5,amortization_policy,0.65,0
A100,medium,3.166364,0.653037,5.0,1.404782,1.160572,0.206242,3.161056,16.3482,95.8,5,first_k_probe_policy,0.65,0
A100,medium,3.166364,8.520422,103.0,2270.007091,2268.319935,2.690917,0.371708,1629.226375,496.0,5,job_length_only,0.65,5
A100,medium,3.166364,0.646008,0.0,1.386504,1.139372,0.204022,3.161218,0.0,0.0,5,oracle_best_action,0.65,0
A100,medium,3.166364,0.654425,5.0,1.424049,1.173285,0.20668,3.161018,16.29188,95.8,5,risk_aware_policy,0.65,0
A100,medium,3.166364,2.810137,0.0,546.452816,545.67179,0.887497,1.128608,450.421332,372.0,5,shape_only,0.65,5
A100,medium,3.166364,0.653261,103.0,1.402656,1.157329,0.206313,3.161139,7.100627,77.4,5,static_gate_only,0.65,0
A100,medium,3.166364,0.654377,103.0,1.42461,1.174319,0.206665,3.161091,7.100627,35.6,5,static_gate_plus_eligibility,0.65,0
A100,medium,3.166364,1.805684,103.0,241.815769,241.216913,0.570271,1.751632,229.812355,116.4,5,static_threshold,0.65,5
A100,medium,3.166364,0.661056,88.4,1.423743,1.176209,0.208774,3.160837,16.3482,95.8,5,workload_agnostic_logreg_policy,0.65,0
A100,medium,3.166364,0.661506,66.0,1.425093,1.178442,0.208917,3.160837,16.3482,95.8,5,workload_agnostic_tree_policy,0.65,0
A100,medium,3.166364,0.695689,366.2,1.619059,1.36392,0.219712,3.16045,0.0,0.0,5,workload_family_holdout_policy,0.65,0
H100,heavy,4.509396,0.920716,226.2,3.143286,2.93422,0.204177,4.48269,0.0,0.0,5,always_best_eager,0.9,0
H100,heavy,4.509396,17.527974,0.0,3482.888963,3478.736,3.886989,0.257273,2541.480525,1000.0,5,always_compile,0.9,5
H100,heavy,4.509396,12.058524,0.0,2330.263545,2329.455066,2.674088,0.373976,1732.04956,767.0,5,always_compile_plus_graphs,0.9,5
H100,heavy,4.509396,17.664996,0.0,3512.122469,3507.915092,3.917375,0.255277,2574.571901,1000.0,5,always_compile_reduce_overhead,0.9,5
H100,heavy,4.509396,0.920716,0.0,3.143286,2.93422,0.204177,4.48269,0.0,0.0,5,always_cpu,0.9,0
H100,heavy,4.509396,0.922696,226.2,3.201319,2.986148,0.204616,4.482447,0.0,0.0,5,always_eager,0.9,0
H100,heavy,4.509396,0.908808,0.0,2.884448,2.683567,0.201537,4.484683,57.456506,454.6,5,always_graphs,0.9,0
H100,heavy,4.509396,0.925808,0.0,3.182274,2.97163,0.205306,4.482209,71.222964,554.8,5,always_graphs_input_copy,0.9,0
H100,heavy,4.509396,0.922696,226.2,3.201319,2.986148,0.204616,4.482447,0.0,0.0,5,amort_ablation_startup_only,0.9,0
H100,heavy,4.509396,0.90277,28.0,2.811289,2.60615,0.200198,4.485504,15.210485,99.8,5,amort_ablation_startup_step,0.9,0
H100,heavy,4.509396,0.90277,28.0,2.811289,2.60615,0.200198,4.485504,15.210485,99.8,5,amort_ablation_startup_step_risk,0.9,0
H100,heavy,4.509396,0.908585,0.0,2.887291,2.685429,0.201487,4.484754,57.456506,379.2,5,amort_ablation_step_only,0.9,0
H100,heavy,4.509396,0.90277,28.0,2.811289,2.60615,0.200198,4.485504,15.210485,99.8,5,amortization_policy,0.9,0
H100,heavy,4.509396,0.90498,5.8,2.843252,2.636858,0.200688,4.485255,33.686243,223.8,5,first_k_probe_policy,0.9,0
H100,heavy,4.509396,9.186216,28.0,1734.39624,1733.131854,2.037128,0.490994,1259.537579,496.0,5,job_length_only,0.9,5
H100,heavy,4.509396,0.89704,0.0,2.728344,2.517679,0.198927,4.486055,0.0,0.0,5,oracle_best_action,0.9,0
H100,heavy,4.509396,0.905259,5.8,2.859434,2.657721,0.20075,4.485216,33.686243,223.8,5,risk_aware_policy,0.9,0
H100,heavy,4.509396,3.210673,0.0,467.89907,467.421314,0.711996,1.406459,373.321799,489.8,5,shape_only,0.9,5
H100,heavy,4.509396,0.903711,28.0,2.823719,2.614252,0.200406,4.48527,15.214775,141.6,5,static_gate_only,0.9,0
H100,heavy,4.509396,0.904227,28.0,2.842881,2.637842,0.200521,4.485223,15.214775,99.8,5,static_gate_plus_eligibility,0.9,0
H100,heavy,4.509396,2.164867,28.0,245.123269,244.514113,0.480079,2.082353,184.846424,170.0,5,static_threshold,0.9,5
H100,heavy,4.509396,0.907112,100.6,2.869698,2.664486,0.20116,4.484204,5.103534,39.8,5,workload_agnostic_logreg_policy,0.9,0
